,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
93,Tiksi,RU,1543120247,24,0,71.64,128.87,-26.58,3.85
94,Iskateley,RU,1543120247,12,53,67.68,53.15,-10.25,9.93
95,Comodoro Rivadavia,AR,1543118400,0,35,-45.87,-67.48,57.2,23.04
96,Palmer,US,1543118160,90,84,61.6,-149.11,32.0,3.36
97,Monrovia,LR,1543119995,24,91,6.33,-10.8,76.61,3.53
98,San Patricio,MX,1543120248,0,100,19.22,-104.7,65.31,2.89
99,Dikson,RU,1543120249,8,96,73.51,80.55,-2.15,15.59
100,Burnie,AU,1543120249,24,97,-41.05,145.91,60.41,10.94
101,Hambantota,LK,1543120249,20,100,6.12,81.12,82.68,5.75
102,East London,ZA,1543114800,75,94,-33.02,27.91,69.8,6.93
103,Elizabeth City,US,1543119300,90,89,36.3,-76.22,48.38,14.99
104,Chapais,CA,1543114800,1,92,49.78,-74.86,24.8,5.82
105,Nanortalik,GL,1543120251,0,86,60.14,-45.24,36.74,38.45
106,General Roca,AR,1543118400,0,66,-39.03,-67.58,55.4,2.24
107,Qaanaaq,GL,1543120251,64,100,77.48,-69.36,9.6,3.51
108,Upernavik,GL,1543120252,92,86,72.79,-56.15,32.78,25.1
109,Soyo,AO,1543120252,92,90,-6.13,12.37,78.27,4.56
110,Sao Filipe,CV,1543120253,92,97,14.9,-24.5,75.03,19.89
111,Derbent,RU,1543120253,0,68,42.06,48.29,39.57,1.72
112,Oranjemund,NA,1543120253,64,94,-28.55,16.43,59.91,16.71
113,Havoysund,NO,1543117800,68,74,71.0,24.66,30.2,23.04
114,Porto Novo,CV,1543118400,20,68,17.02,-25.06,71.6,28.86
115,Bastrop,US,1543118100,1,98,32.78,-91.91,55.94,7.27
116,Biak,ID,1543120254,44,82,-0.91,122.88,86.06,1.88
117,Walvis Bay,NA,1543118400,12,82,-22.95,14.51,60.8,6.93
118,Sistranda,NO,1543117800,75,93,63.73,8.83,37.4,6.93
119,Lemoore,US,1543118160,90,80,36.3,-119.78,60.98,2.21
120,Viedma,AR,1543120256,0,80,-40.81,-62.99,53.97,6.76
121,Brigantine,US,1543119300,90,96,39.41,-74.36,53.06,33.33
122,Seymchan,RU,1543120257,44,32,62.93,152.39,-22.58,1.32
123,Challans,FR,1543118400,92,100,46.85,-1.88,46.4,6.93
124,Portland,AU,1543120257,0,54,-33.35,149.98,62.16,7.54
125,Hervey Bay,AU,1543120258,32,68,-25.3,152.85,83.09,15.48
126,Mount Isa,AU,1543116600,40,23,-20.73,139.49,104.0,17.22
127,Freeport,US,1543119300,90,91,42.3,-89.62,39.2,5.82
128,Axim,GH,1543120258,8,100,4.87,-2.24,80.43,11.68
129,Basco,PH,1543120259,44,100,20.45,121.97,79.49,21.34
130,Port Hedland,AU,1543116600,0,55,-20.31,118.58,86.0,19.46
131,Luau,AO,1543120259,36,90,-10.71,22.22,71.07,3.22
132,Sur,OM,1543120260,24,94,22.57,59.53,79.31,1.28
133,Atuona,PF,1543120260,88,100,-9.8,-139.03,80.52,14.07
134,Srednekolymsk,RU,1543120260,48,81,67.46,153.71,-18.53,2.77
135,Victoria,SC,1543118400,20,74,-4.62,55.45,84.2,4.7
136,Clyde River,CA,1543118400,1,76,70.47,-68.59,-7.61,4.7
137,Khatanga,RU,1543120261,0,58,71.98,102.47,-11.78,7.92
138,Varhaug,NO,1543117800,0,85,58.61,5.65,24.8,2.24
139,Provideniya,RU,1543120262,20,100,64.42,-173.23,22.61,23.2
140,Nemuro,JP,1543118400,75,100,43.32,145.57,41.0,6.93
141,Pecos,US,1543119300,1,22,31.42,-103.49,64.94,10.29
142,Anadyr,RU,1543114800,0,77,64.73,177.51,6.8,13.42
143,Kainantu,PG,1543120264,48,90,-6.29,145.87,71.39,0.72
144,Tiznit,MA,1543120264,8,99,29.7,-9.73,53.7,3.85
145,Yellowknife,CA,1543118400,90,84,62.45,-114.38,-0.41,10.29
146,Naze,JP,1543118400,20,46,28.37,129.48,73.4,6.93
147,New Norfolk,AU,1543118400,75,93,-42.78,147.06,53.6,13.87
148,Lagunas,PE,1543120265,92,99,-5.23,-75.68,72.24,4.9
149,Ucluelet,CA,1543120266,100,100,48.94,-125.55,37.5,1.88
150,Glace Bay,CA,1543118400,90,99,46.2,-59.96,32.0,4.7
151,Bahia de Caraquez,EC,1543118400,75,88,-0.6,-80.42,73.4,8.05
152,Meridian,US,1543119360,90,96,32.36,-88.7,51.98,3.36
153,Kuandian,CN,1543120267,0,56,40.73,124.78,42.63,4.34
154,Severo-Kurilsk,RU,1543120267,44,100,50.68,156.12,31.56,14.7
155,Butaritari,KI,1543120268,100,100,3.07,172.79,84.93,13.06
156,Bubaque,GW,1543120268,56,100,11.28,-15.83,80.48,6.24
157,Huicheng,CN,1543118400,40,82,23.03,116.29,68.0,12.06
158,Inhambane,MZ,1543120269,8,77,-23.87,35.38,80.48,10.27
159,Sinnamary,GF,1543120269,88,100,5.38,-52.96,80.21,11.39
160,Ribeira Grande,PT,1543120270,80,100,38.52,-28.7,62.16,20.56
161,Bambous Virieux,MU,1543118400,40,69,-20.34,57.76,80.6,6.93
162,Arraial do Cabo,BR,1543120188,100,82,-22.97,-42.02,77.28,17.9
163,Hudiksvall,SE,1543120271,0,100,61.73,17.1,32.06,12.95
164,Timbiqui,CO,1543120271,92,100,2.77,-77.67,73.59,2.62
165,Cayenne,GF,1543118400,88,94,4.94,-52.33,77.0,2.24
166,Nador,MA,1543118400,80,71,35.17,-2.93,51.8,6.91
167,Tomatlan,MX,1543120272,0,91,19.93,-105.25,62.79,2.1
168,Kapaa,US,1543118160,75,68,22.08,-159.32,78.98,6.93
169,Carthage,US,1543119300,1,70,32.16,-94.34,60.08,6.93
170,Bilibino,RU,1543120273,12,0,68.06,166.44,-34.73,2.28
171,Qeshm,IR,1543118400,0,88,26.96,56.27,73.4,4.7
172,Kamenka,RU,1543120274,92,86,53.19,44.05,19.01,12.39
173,Jitra,MY,1543114800,75,84,6.27,100.42,86.0,3.36
174,Hauterive,CA,1543114800,75,79,49.18,-68.27,21.2,6.93
175,Nanpiao,CN,1543120275,0,37,41.1,120.75,43.62,3.89
176,Barrie,CA,1543120140,90,100,44.38,-79.7,41.0,6.93
177,Okha,RU,1543120276,0,100,53.59,142.95,8.07,14.81
178,Esperance,AU,1543120276,56,63,-33.86,121.89,76.56,14.58
179,Komsomolskiy,RU,1543120277,64,76,67.55,63.78,4.61,3.4
180,Lundamo,NO,1543117800,75,100,63.15,10.29,33.8,6.93
181,Puerto Escondido,MX,1543120277,0,100,15.86,-97.07,83.09,8.43
182,Taoudenni,ML,1543120278,8,92,22.68,-3.98,52.44,10.04
183,Muscat,OM,1543117800,0,83,23.6,58.55,77.0,1.12
184,Egvekinot,RU,1543120279,68,82,66.32,-179.17,15.41,12.68
185,Longyearbyen,SJ,1543117800,75,78,78.22,15.64,17.6,3.36
186,Ancud,CL,1543120280,0,88,-41.87,-73.83,41.24,4.9
187,Lahijan,IR,1543118400,90,100,37.21,50.0,50.0,4.7
188,Ponta Delgada,PT,1543118400,40,67,37.73,-25.67,60.8,8.05
189,Bousso,TD,1543120281,0,41,10.48,16.71,71.25,5.35
190,Dingle,IE,1543120281,0,100,52.14,-10.27,45.87,16.08
191,Tautira,PF,1543118400,20,74,-17.73,-149.15,84.2,8.05
192,Mahebourg,MU,1543118400,40,69,-20.41,57.7,80.6,6.93
193,Namwala,ZM,1543120282,92,88,-15.75,26.45,69.99,10.11
194,Cherskiy,RU,1543120282,12,0,68.75,161.3,-34.1,0.76
195,Iquitos,PE,1543118400,0,94,-3.75,-73.25,75.2,1.99
196,Inuvik,CA,1543118400,90,76,68.36,-133.71,-7.61,2.24
197,Plouzane,FR,1543118400,20,100,48.38,-4.62,39.2,1.12
198,Binzhou,CN,1543120284,0,41,37.38,117.96,60.23,4.56
199,Anloga,GH,1543118400,20,94,5.79,0.9,78.8,4.7
200,Kieta,PG,1543120284,8,99,-6.22,155.63,81.78,3.4
201,Huarmey,PE,1543120284,36,90,-10.07,-78.15,59.73,3.33
202,Abnub,EG,1543120285,0,82,27.27,31.15,57.75,4.29
203,Kruisfontein,ZA,1543120285,92,96,-34.0,24.73,65.4,7.09
204,Baykit,RU,1543120285,92,72,61.68,96.39,7.04,12.46
205,Changying,CN,1543120286,68,60,52.87,123.32,-0.03,3.51
206,High Level,CA,1543118400,5,83,58.52,-117.13,-4.01,3.22
207,Necochea,AR,1543120286,8,98,-38.55,-58.74,47.36,4.41
208,Port Lincoln,AU,1543120287,0,86,-34.72,135.86,63.11,11.56
209,Tuatapere,NZ,1543120287,20,74,-46.13,167.69,62.07,16.93
210,Barra do Garcas,BR,1543120288,92,92,-15.89,-52.26,71.88,4.34
211,Luderitz,NA,1543120206,8,84,-26.65,15.16,58.38,14.85
212,Bulgan,MN,1543120288,92,29,48.81,103.53,46.01,8.37
213,Ambovombe,MG,1543120288,24,69,-25.18,46.09,82.14,8.37
214,Red Wing,US,1543119360,90,80,44.56,-92.53,32.0,8.05
215,Tungor,RU,1543120289,0,100,53.39,142.95,8.07,14.81
216,Saldanha,ZA,1543118400,12,87,-33.01,17.94,57.2,4.7
217,Karratha,AU,1543120290,0,11,-20.74,116.85,97.62,13.4
218,Agadir,MA,1543118400,75,87,30.42,-9.58,55.4,4.7
219,Vila Velha,BR,1543118400,75,78,-3.71,-38.6,80.6,12.75
220,Saskylakh,RU,1543120291,36,0,71.97,114.09,-31.22,4.0
221,Zhangye,CN,1543120292,0,56,38.94,100.46,49.83,6.8
222,Cockburn Town,BS,1543120292,0,100,24.03,-74.52,78.36,9.66
223,Northam,AU,1543116600,75,43,-31.65,116.67,71.6,14.99
224,Udachnyy,RU,1543120293,12,0,66.42,112.4,-31.71,2.39
225,Chake Chake,TZ,1543120293,68,100,-5.25,39.77,80.88,3.33
226,Khorramshahr,IR,1543118400,75,93,30.43,48.18,66.2,2.24
227,Amga,RU,1543120294,44,33,60.89,131.98,-23.16,2.77
228,Yaroslavl,RU,1543120294,80,95,57.63,39.89,27.38,8.55
229,Adrar,DZ,1543118400,0,100,27.87,-0.29,51.8,8.05
230,Karpathos,GR,1543117800,56,67,35.51,27.21,59.0,13.87
231,Torbay,CA,1543118400,20,67,47.66,-52.73,23.0,26.4
232,Hearst,CA,1543120296,92,98,49.69,-83.67,37.95,3.89
233,Davila,PH,1543118400,20,41,18.47,120.58,93.2,6.93
234,Alihe,CN,1543120297,76,64,50.57,123.73,20.49,3.4
235,Lavrentiya,RU,1543120297,76,100,65.58,-170.99,26.39,25.93
236,Coahuayana,MX,1543120297,0,80,18.62,-100.35,56.4,1.83
237,Dekernes,EG,1543120298,88,86,31.09,31.59,66.08,5.64
238,Salinas,EC,1543120298,80,100,0.49,-78.13,51.86,2.1
239,Correntina,BR,1543120298,92,95,-13.34,-44.63,68.78,1.88
240,Nyurba,RU,1543120020,36,34,63.29,118.35,-23.25,3.69
241,Salalah,OM,1543117800,20,78,17.01,54.1,78.8,3.36
242,Nabire,ID,1543120299,48,83,-3.36,135.5,79.44,2.28
243,Nouadhibou,MR,1543120299,12,88,20.93,-17.03,59.28,14.36
244,Tocache,PE,1543120300,92,95,-8.19,-76.51,60.59,2.1
245,Polunochnoye,RU,1543120300,0,20,60.87,60.43,-13.44,2.28
246,Kingaroy,AU,1543120300,80,39,-26.54,151.84,83.09,26.11
247,Nome,US,1543119300,90,75,30.04,-94.42,64.4,4.7
248,Abha,SA,1543118400,0,71,18.22,42.5,55.4,4.7
249,Funadhoo,MV,1543120301,80,100,6.15,73.27,84.08,4.74
250,Qaqortoq,GL,1543117800,0,31,60.72,-46.03,46.4,40.26
251,Guayaramerin,BO,1543120302,88,97,-10.82,-65.36,74.04,2.39
252,Tasiilaq,GL,1543117800,0,58,65.61,-37.64,28.4,4.52
253,Hamilton,BM,1543118100,90,83,32.3,-64.78,69.8,24.16
254,Te Anau,NZ,1543120303,92,65,-45.41,167.72,60.9,5.75
255,Mehamn,NO,1543120303,88,85,71.03,27.85,30.12,17.6
256,Mwense,ZM,1543120304,56,94,-10.39,28.7,69.0,3.4
257,Wanning,CN,1543120304,92,100,18.8,110.4,71.07,25.37
258,La Paz,MX,1543117500,90,73,24.15,-110.32,69.8,4.7
259,Kungurtug,RU,1543120305,44,58,50.6,97.53,10.41,15.08
260,Maningrida,AU,1543120305,0,63,-12.05,134.23,89.97,13.29
261,Chara,RU,1543120306,36,78,56.9,118.26,-1.38,1.39
262,Killybegs,IE,1543120306,0,100,54.63,-8.45,40.34,9.1
263,Jacmel,HT,1543120306,8,100,18.24,-72.54,79.76,4.9
264,Nizhniy Kuranakh,RU,1543120307,20,57,58.84,125.49,-12.81,2.06
265,Brandon,US,1543119300,90,79,43.59,-96.57,26.96,11.41
266,Pasaje,EC,1543114800,0,33,-3.33,-79.81,89.6,1.61
267,Askiz,RU,1543120307,8,55,53.13,90.53,17.79,25.7
268,Ajdabiya,LY,1543120308,8,85,30.75,20.22,50.19,3.56
269,Verkhoyansk,RU,1543120308,56,42,67.55,133.39,-27.35,1.5
270,Matara,LK,1543120308,20,98,5.95,80.54,83.58,4.56
271,Grindavik,IS,1543118400,20,100,63.84,-22.43,33.8,5.82
272,Spassk-Ryazanskiy,RU,1543120309,68,82,54.41,40.38,22.56,10.38
273,Nikolskoye,RU,1543118400,20,92,59.7,30.79,24.8,6.71
274,Lyuban,BY,1543120310,88,97,52.8,28.0,29.4,3.29
275,Byron Bay,AU,1543116600,44,47,-28.65,153.62,80.6,14.99
276,Sampit,ID,1543120310,64,89,-2.54,112.95,85.88,4.63
277,Madimba,TZ,1543114800,20,100,-10.4,40.33,73.4,6.24
278,Tabas,IR,1543118400,20,76,33.6,56.92,51.8,4.7
279,Parksville,CA,1543118400,90,87,49.32,-124.32,46.4,3.36
280,Broome,AU,1543116600,40,52,-17.97,122.23,87.8,12.75
281,Vao,NC,1543120312,100,100,-22.67,167.48,75.21,16.2
282,Mittersill,AT,1543117800,75,100,47.28,12.48,33.8,2.24
283,Belle Fourche,US,1543119300,90,100,44.67,-103.85,30.2,6.93
284,Merced,US,1543117980,40,90,37.3,-120.48,62.06,4.7
285,Poum,NC,1543120313,92,99,-20.23,164.02,78.86,11.9
286,Eregli,TR,1543120314,0,77,37.51,34.05,28.19,2.55
287,Cheney,US,1543119480,40,100,47.49,-117.58,35.06,5.82
288,Altamira,BR,1543120314,80,91,-3.2,-52.21,77.24,3.85
289,Moose Factory,CA,1543118400,90,93,51.26,-80.61,35.6,5.82
290,Etchoropo,MX,1543120315,92,75,26.77,-109.67,65.09,5.86
291,Marsa Matruh,EG,1543120315,20,85,31.35,27.25,54.15,3.89
292,Gelemso,ET,1543120315,48,49,8.81,40.52,70.04,4.79
293,Santa Maria,CV,1543118400,75,68,16.6,-22.9,71.6,18.34
294,Constitucion,MX,1543120316,32,55,23.99,-104.67,45.15,5.91
295,Lubao,CD,1543120317,80,90,-5.39,25.75,74.18,5.64
296,Dovbysh,UA,1543120317,92,94,50.37,27.99,32.73,8.25
297,Krugersdorp,ZA,1543118400,0,68,-26.1,27.78,66.2,4.7
298,Shihezi,CN,1543120318,48,86,44.3,86.03,25.94,12.35
299,Ystad,SE,1543117800,88,93,55.43,13.82,35.6,8.05
300,Pedernales,DO,1543120319,0,100,18.04,-71.74,76.43,6.42
301,Praia da Vitoria,PT,1543118400,40,67,38.73,-27.07,59.0,22.19
302,Hay River,CA,1543118400,20,83,60.82,-115.79,-5.81,3.36
303,San Jose,GT,1543120320,32,76,16.98,-89.9,76.29,5.53
304,Kajaani,FI,1543117800,75,86,64.22,27.73,26.6,11.41
305,Morant Bay,JM,1543114800,75,65,17.88,-76.41,82.4,5.82
306,Swan River,CA,1543120321,48,72,52.11,-101.27,2.99,2.55
307,Bato,PH,1543120322,80,77,13.36,123.37,82.95,10.38
308,Dong Hoi,VN,1543120323,100,100,17.48,106.6,73.95,19.33
309,Butembo,CD,1543120323,24,79,0.12,29.29,70.8,2.1
310,Paita,PE,1543120323,12,92,-5.09,-81.11,66.71,5.57
311,Tabou,CI,1543120324,88,100,4.42,-7.36,77.1,9.78
312,Havelock,US,1543118640,20,96,34.88,-76.9,50.0,11.41
313,Jalapa,NI,1543120324,20,91,13.92,-86.13,62.61,2.06
314,Quelimane,MZ,1543118400,75,94,-17.88,36.89,77.0,4.7
315,Lancaster,US,1543119300,90,92,40.04,-76.31,44.06,8.05
316,Kaitangata,NZ,1543120325,92,92,-46.28,169.85,54.24,19.39
317,Erdenet,MN,1543120326,68,41,49.03,104.04,43.08,10.56
318,Natal,BR,1543118400,40,83,-5.81,-35.21,78.8,6.93
319,Batagay-Alyta,RU,1543120327,36,30,67.8,130.41,-22.44,1.99
320,Boende,CD,1543120327,88,96,-0.28,20.88,72.56,2.55
321,Pisco,PE,1543118400,0,88,-13.71,-76.2,64.4,8.05
322,Jishou,CN,1543120328,0,79,28.26,109.7,62.79,3.33
323,College,US,1543118280,1,91,64.86,-147.8,10.04,6.78
324,Meulaboh,ID,1543120329,68,100,4.14,96.13,80.48,2.84
325,Vardo,NO,1543120330,64,100,70.37,31.11,35.84,24.09
326,Lucea,JM,1543118400,75,74,18.44,-78.17,80.6,3.36
327,Bolivar,US,1543117920,1,54,37.61,-93.41,51.08,11.41
328,Andenes,NO,1543117800,64,59,69.31,16.12,35.6,23.04
329,Tottori,JP,1543118400,75,59,35.5,134.23,60.8,6.93
330,Isperih,BG,1543120331,32,86,43.72,26.83,26.43,3.0
331,Ghanzi,BW,1543120331,0,54,-21.7,21.65,75.21,12.95
332,Krasnoyarskiy,RU,1543120332,64,80,51.97,59.9,22.65,13.8
333,Linqing,CN,1543120332,0,56,36.85,115.71,59.24,3.78
334,Sheltozero,RU,1543120332,80,100,61.37,35.37,22.38,12.12
335,Guerrero Negro,MX,1543120333,0,98,27.97,-114.04,55.91,6.35
336,East Wenatchee Bench,US,1543118100,1,78,47.43,-120.28,37.04,2.39
337,Ashti,IN,1543120333,20,44,18.8,75.17,82.95,5.64
338,Timbuktu,ML,1543120334,44,44,16.77,-3.01,64.91,11.27
339,Ust-Tsilma,RU,1543120334,64,76,65.44,52.15,-7.5,3.29
340,Vostok,RU,1543120334,92,73,46.45,135.83,28.41,2.84
341,Ahipara,NZ,1543120335,32,91,-35.17,173.16,61.62,20.11
342,Cabo San Lucas,MX,1543117440,75,73,22.89,-109.91,69.8,6.93
343,Waipawa,NZ,1543120335,92,99,-39.94,176.59,55.91,13.47
344,Nyimba,ZM,1543120335,92,100,-14.56,30.81,69.0,4.07
345,Erzin,RU,1543120336,64,55,50.26,95.16,13.02,10.04
346,Dali,CN,1543120337,0,86,25.6,100.24,55.19,2.73
347,Bimbo,CF,1543118400,44,100,4.33,18.53,69.8,2.24
348,San Carlos de Bariloche,AR,1543118400,0,65,-41.13,-71.31,41.0,4.7
349,Salavat,RU,1543120338,92,86,53.36,55.92,22.29,10.27
350,Martinsville,US,1543119900,90,98,36.69,-79.87,42.98,4.56
351,Mizque,BO,1543120338,48,95,-17.94,-65.34,46.23,2.21
352,Camacha,PT,1543118400,40,82,33.08,-16.33,66.2,13.87
353,Padang,ID,1543120339,12,100,-0.92,100.36,80.88,9.15
354,Nicoya,CR,1543118400,20,88,10.15,-85.45,77.0,3.36
355,Bayanday,RU,1543120340,92,82,53.07,105.52,26.97,4.34
356,Narsaq,GL,1543117800,0,31,60.91,-46.05,46.4,40.26
357,Balikpapan,ID,1543116600,20,79,-1.24,116.86,86.0,4.7
358,Khudat,AZ,1543120341,0,87,41.63,48.68,40.43,4.63
359,Tilichiki,RU,1543120341,12,95,60.47,166.1,-21.99,3.0
360,Qostanay,KZ,1543118400,0,79,53.17,63.58,19.4,17.9
361,Mujiayingzi,CN,1543120342,0,34,42.12,118.78,39.66,3.51
362,Rawson,AR,1543120342,0,43,-43.3,-65.11,49.74,6.53
363,Boa Vista,BR,1543118400,0,65,2.82,-60.67,82.4,8.05
364,Gigmoto,PH,1543120343,80,94,13.78,124.39,82.68,15.37
365,Waraseoni,IN,1543120344,0,48,21.76,80.05,81.06,5.12
366,Flin Flon,CA,1543120344,24,86,54.77,-101.88,2.13,3.22
367,Barabai,ID,1543120345,80,83,-2.59,115.38,83.18,1.88
368,Le Mars,US,1543118100,90,92,42.79,-96.17,32.0,14.99
369,Leh,IN,1543120346,88,76,34.16,77.58,-1.47,1.54
370,Atar,MR,1543120346,24,74,20.52,-13.05,52.44,7.43
371,Yulara,AU,1543114800,0,16,-25.24,130.99,91.4,6.93
372,Tigil,RU,1543120346,80,86,57.8,158.67,19.23,3.0
373,Diu,IN,1543120347,0,22,20.71,70.98,92.04,10.45
374,Balabac,PH,1543120347,32,100,7.99,117.06,84.08,5.01
